LU prior groups,LU post groups,Count of LU post
RL,RL,18
R4,RL,1
R3,RL,1
R2,RL,4
R1,RL,5
RL,RC,1
RC,RC,8
R4,RC,1
E,RC,1
C,RC,1
R4,R4,7
R3,R4,1
R2,R4,1
CL,R4,1
RL,R3,6
R3,R3,48
R2,R3,11
R1,R3,14
E,R3,1
C,R3,1
RL,R2,2
R4,R2,2
R3,R2,1
R2,R2,22
R1,R2,3
RL,R1,4
RC,R1,1
R4,R1,1
R3,R1,4
R2,R1,11
R1,R1,95
C,R1,1
E,I,1
C,I,1
RL,E,1
RC,E,2
R4,E,2
R3,E,2
R2,E,1
R1,E,6
I,E,2
E,E,98
CL,E,1
CD,E,1
C,E,16
A,E,5
RL,CP,1
RC,CP,1
R4,CP,2
R3,CP,2
R2,CP,2
R1,CP,1
A,CP,1
RL,CM,18
RC,CM,37
R4,CM,99
R3,CM,492
R2,CM,432
R1,CM,31
I,CM,1
E,CM,6
CM,CM,119
CL,CM,1
CD,CM,309
CC,CM,15
C,CM,12
A,CM,64
RC,CL,1
E,CL,2
CL,CL,4
C,CL,1
RL,CD,2
RC,CD,1
R4,CD,7
R3,CD,27
R2,CD,36
R1,CD,5
CM,CD,12
CD,CD,52
CC,CD,1
A,CD,2
RC,CC,2
E,CC,1
CC,CC,1
RC,C,1
I,C,1
E,C,3
CL,C,1
C,C,32
RL,A,2
R4,A,1
R3,A,3
R2,A,5
R1,A,4
E,A,1
CL,A,1
A,A,20