ZIPCODE post (group),LU prior groups,Count of LU prior
02215,CM,1
02215,R2,1
02210,RC,1
02142,C,1
02142,A,1
02141,R1,2
02141,RC,1
02141,R4,1
02141,R2,8
02141,R3,7
02140,E,1
02140,RC,1
02140,A,1
02140,CM,1
02140,R2,13
02140,R3,4
02139,E,1
02139,R1,2
02139,R4,2
02139,CM,5
02139,CD,1
02139,R2,21
02139,R3,10
02138,RL,1
02138,R1,3
02138,RC,1
02138,CM,4
02138,R2,20
02138,R3,4
02136,R1,1
02136,RC,2
02136,A,1
02136,CM,6
02136,CD,20
02136,R2,22
02136,R3,8
02132,E,1
02132,RC,1
02132,A,1
02132,R4,1
02132,CM,6
02132,CD,11
02132,R2,18
02132,R3,4
02131,CC,3
02131,RL,3
02131,R1,1
02131,RC,1
02131,A,5
02131,R4,3
02131,CM,11
02131,CD,70
02131,R2,65
02131,R3,32
02130,E,1
02130,C,1
02130,CC,1
02130,RL,2
02130,R1,5
02130,RC,3
02130,A,3
02130,R4,5
02130,CM,16
02130,CD,59
02130,R2,43
02130,R3,63
02129,RL,2
02129,R1,2
02129,A,1
02129,R4,1
02129,CM,5
02129,CD,11
02129,R2,20
02129,R3,26
02128,CC,1
02128,RL,2
02128,R1,3
02128,RC,5
02128,A,12
02128,R4,18
02128,CM,2
02128,CD,7
02128,R2,40
02128,R3,101
02127,E,1
02127,C,2
02127,RL,3
02127,R1,8
02127,RC,12
02127,A,15
02127,R4,15
02127,CM,18
02127,CD,36
02127,R2,53
02127,R3,55
02126,A,3
02126,R4,2
02126,CM,3
02126,CD,2
02126,R2,7
02126,R3,1
02125,RL,1
02125,A,4
02125,R4,4
02125,CM,8
02125,CD,16
02125,R2,17
02125,R3,53
02124,CL,1
02124,C,1
02124,CC,1
02124,RC,1
02124,A,3
02124,R4,2
02124,CM,7
02124,CD,12
02124,R2,29
02124,R3,28
02122,C,1
02122,RL,1
02122,R1,1
02122,R4,10
02122,CM,6
02122,CD,17
02122,R2,22
02122,R3,36
02121,A,2
02121,R4,3
02121,CM,1
02121,CD,5
02121,R2,6
02121,R3,16
02120,E,1
02120,CC,1
02120,RC,1
02120,A,1
02120,R4,1
02120,CD,13
02119,I,1
02119,RL,2
02119,R1,2
02119,RC,2
02119,A,2
02119,R4,4
02119,CM,5
02119,CD,20
02119,R2,12
02119,R3,17
02118,CC,3
02118,RC,3
02118,A,3
02118,R4,11
02118,CM,5
02118,CD,2
02118,R2,19
02118,R3,15
02116,C,3
02116,R1,1
02116,RC,2
02116,A,2
02116,R4,6
02116,CM,5
02116,CD,7
02116,R2,7
02116,R3,9
02115,CC,2
02115,RL,1
02115,R4,3
02115,CM,2
02115,R2,1
02115,R3,2
02114,R2,1
02113,CC,1
02113,R4,5
02113,CM,1
02113,CD,1
02113,R2,1
02113,R3,2
02111,RC,1
02110,R2,1
02110,R3,1
02109,C,2
02109,CM,1
02109,R2,1
02108,C,1
02108,CC,2
02108,R1,1
02108,A,3
02108,R4,2
02108,R2,2
02108,R3,6