Zip Code,Date (Years),Number of Complaints Filed Per Year,Number of Distinct Condominum Buildings the Complaints are Filed About
02108,2019,119,79
02108,2020,104,69
02108,2021,114,81
02108,2022,162,91
02108,2023,254,123
02109,2019,197,90
02109,2020,188,94
02109,2021,198,100
02109,2022,227,121
02109,2023,192,106
02110,2019,40,26
02110,2020,25,18
02110,2021,37,22
02110,2022,52,31
02110,2023,33,23
02111,2019,158,92
02111,2020,158,80
02111,2021,122,65
02111,2022,239,105
02111,2023,282,120
02113,2019,574,205
02113,2020,398,211
02113,2021,470,205
02113,2022,578,246
02113,2023,564,279
02114,2019,541,271
02114,2020,496,278
02114,2021,653,316
02114,2022,826,391
02114,2023,943,419
02115,2019,802,265
02115,2020,697,280
02115,2021,643,295
02115,2022,706,285
02115,2023,863,314
02116,2019,1014,575
02116,2020,1047,608
02116,2021,1270,626
02116,2022,1500,771
02116,2023,1465,712
02118,2019,1378,672
02118,2020,1488,741
02118,2021,1580,747
02118,2022,1694,876
02118,2023,1603,836
02119,2019,123,80
02119,2020,231,115
02119,2021,238,141
02119,2022,220,127
02119,2023,307,151
02120,2019,155,82
02120,2020,164,88
02120,2021,136,87
02120,2022,212,110
02120,2023,247,121
02121,2019,55,36
02121,2020,100,53
02121,2021,184,43
02121,2022,66,41
02121,2023,97,49
02122,2019,150,108
02122,2020,318,151
02122,2021,367,170
02122,2022,294,132
02122,2023,304,125
02124,2019,188,104
02124,2020,241,143
02124,2021,302,174
02124,2022,246,147
02124,2023,323,154
02125,2019,301,179
02125,2020,398,222
02125,2021,435,252
02125,2022,381,233
02125,2023,390,206
02126,2019,78,38
02126,2020,81,38
02126,2021,120,49
02126,2022,113,45
02126,2023,101,45
02127,2019,743,506
02127,2020,1418,869
02127,2021,1504,820
02127,2022,1385,761
02127,2023,1636,880
02128,2019,191,131
02128,2020,296,178
02128,2021,312,190
02128,2022,249,145
02128,2023,371,211
02129,2019,490,338
02129,2020,651,403
02129,2021,536,362
02129,2022,582,404
02129,2023,431,315
02130,2019,294,207
02130,2020,423,307
02130,2021,341,252
02130,2022,447,312
02130,2023,481,316
02131,2019,91,65
02131,2020,201,143
02131,2021,144,103
02131,2022,154,118
02131,2023,166,118
02132,2019,42,33
02132,2020,88,40
02132,2021,108,46
02132,2022,130,45
02132,2023,99,51
02134,2019,311,135
02134,2020,456,177
02134,2021,578,192
02134,2022,515,197
02134,2023,630,195
02135,2019,457,258
02135,2020,791,366
02135,2021,628,323
02135,2022,840,335
02135,2023,1037,392
02136,2019,68,38
02136,2020,116,62
02136,2021,93,70
02136,2022,103,53
02136,2023,131,55
02199,2019,1,1
02199,2020,1,1
02199,2021,2,1
02199,2022,5,2
02199,2023,7,5
02210,2019,19,11
02210,2020,38,24
02210,2021,57,25
02210,2022,44,28
02210,2023,64,33
02215,2019,323,119
02215,2020,317,136
02215,2021,320,127
02215,2022,458,169
02215,2023,557,172